blood_group,quantity,donated_on,location
A+,4,26-03-2021,dharmapuri
AB+,10,15-05-2020,salem
O+,9,21-03-2021,dharmapuri
AB+,7,05-08-2020,krishnagiri
B+,7,31-07-2020,dharmapuri
AB+,5,17-04-2021,dharmapuri
O-,8,14-12-2020,dharmapuri
O-,7,03-09-2020,krishnagiri
O-,7,07-12-2020,salem
AB+,9,09-01-2021,salem
BOMBAY,1,06-03-2020,krishnagiri
AB+,3,23-11-2020,salem
BOMBAY,2,18-05-2020,krishnagiri
A+,8,14-02-2021,krishnagiri
AB+,10,23-06-2020,salem
BOMBAY,9,16-09-2020,salem
B-,6,08-04-2020,dharmapuri
AB-,3,14-08-2020,dharmapuri
O-,6,01-05-2020,dharmapuri
O-,2,27-06-2020,krishnagiri
B-,8,16-05-2020,salem
O+,7,31-01-2020,krishnagiri
A+,7,25-03-2020,dharmapuri
AB-,7,26-01-2021,dharmapuri
O+,10,19-01-2020,salem
BOMBAY,6,20-01-2020,krishnagiri
B+,4,09-11-2020,salem
A+,10,14-07-2020,krishnagiri
O+,7,27-07-2020,dharmapuri
AB+,5,22-06-2020,dharmapuri
B-,1,23-10-2020,dharmapuri
AB-,5,23-02-2021,dharmapuri
A-,10,24-04-2020,salem
O-,9,19-09-2020,dharmapuri
BOMBAY,1,30-08-2020,salem
B-,1,03-03-2021,salem
B-,3,29-09-2020,salem
O-,8,30-03-2021,dharmapuri
B-,9,04-12-2020,dharmapuri
A-,10,16-02-2020,salem
B-,6,09-01-2020,krishnagiri
O+,7,21-05-2020,salem
BOMBAY,5,25-08-2020,krishnagiri
AB-,3,23-01-2020,dharmapuri
A+,1,26-02-2020,salem
AB-,6,05-03-2020,krishnagiri
O+,9,19-09-2020,salem
O+,9,24-01-2020,salem
AB-,10,09-03-2020,krishnagiri
AB+,4,18-09-2020,salem
B-,10,26-02-2021,krishnagiri
A+,4,22-04-2020,salem
AB+,6,03-09-2020,dharmapuri
AB-,5,17-03-2020,dharmapuri
A+,8,26-09-2020,salem
B+,1,27-05-2020,salem
B-,2,21-11-2020,salem
O+,4,24-11-2020,dharmapuri
AB+,2,26-02-2020,salem
B-,3,19-01-2020,dharmapuri
A-,8,08-09-2020,salem
A-,8,26-02-2020,salem
BOMBAY,9,18-06-2020,dharmapuri
AB-,5,18-05-2020,krishnagiri
O+,9,12-08-2020,krishnagiri
B-,6,09-02-2021,krishnagiri
O-,3,20-02-2021,dharmapuri
O+,10,31-12-2020,krishnagiri
B-,1,12-07-2020,dharmapuri
BOMBAY,6,15-01-2020,dharmapuri
B+,10,29-10-2020,dharmapuri
B-,6,06-05-2020,krishnagiri
O-,10,25-04-2021,krishnagiri
AB+,4,09-01-2020,salem
B-,2,01-02-2021,krishnagiri
BOMBAY,3,26-10-2020,salem
AB-,4,14-03-2020,krishnagiri
AB+,8,13-03-2021,dharmapuri
AB-,10,26-03-2020,salem
A+,1,25-11-2020,salem
O-,6,08-06-2020,dharmapuri
AB-,5,04-02-2020,salem
AB+,2,25-10-2020,dharmapuri
A+,9,28-05-2020,salem
O+,9,27-09-2020,salem
B-,9,28-03-2020,salem
BOMBAY,5,09-05-2020,dharmapuri
B-,9,05-07-2020,dharmapuri
A+,1,24-09-2020,dharmapuri
O-,10,24-07-2020,salem
B+,7,08-06-2020,dharmapuri
A+,8,06-07-2020,dharmapuri
A-,9,06-03-2020,salem
A-,9,26-07-2020,dharmapuri
AB-,7,18-08-2020,krishnagiri
AB-,9,08-10-2020,dharmapuri
AB-,8,31-05-2020,krishnagiri
O+,5,15-05-2020,salem
AB+,9,23-02-2021,salem
A-,1,08-03-2020,salem
AB-,3,05-04-2021,salem
AB-,8,12-04-2020,krishnagiri
O-,6,13-11-2020,dharmapuri
B-,4,19-01-2020,dharmapuri
BOMBAY,1,06-02-2021,krishnagiri
O-,5,06-10-2020,krishnagiri
AB+,9,28-01-2021,salem
AB-,4,25-01-2021,krishnagiri
B-,6,29-09-2020,salem
AB+,4,26-02-2020,krishnagiri
A+,7,02-03-2020,salem
A+,7,20-05-2020,dharmapuri
O-,9,10-01-2020,salem
O+,9,11-12-2020,krishnagiri
B-,9,14-02-2020,dharmapuri
A+,9,08-02-2020,dharmapuri
BOMBAY,2,24-01-2020,dharmapuri
B+,4,03-05-2020,salem
O+,7,04-05-2020,salem
B-,7,08-04-2021,salem
A-,8,03-10-2020,dharmapuri
A-,5,07-11-2020,salem
BOMBAY,5,17-02-2021,krishnagiri
BOMBAY,6,21-12-2020,krishnagiri
BOMBAY,3,16-10-2020,krishnagiri
AB+,5,27-05-2020,dharmapuri
A+,7,19-11-2020,krishnagiri
O-,8,30-10-2020,krishnagiri
BOMBAY,5,30-11-2020,salem
B+,10,17-06-2020,salem
AB+,7,03-09-2020,dharmapuri
A-,6,08-07-2020,dharmapuri
B-,6,13-09-2020,dharmapuri
B-,4,04-10-2020,dharmapuri
AB+,9,01-04-2020,krishnagiri
A+,4,15-11-2020,salem
B-,4,16-08-2020,salem
B-,10,30-06-2020,dharmapuri
A-,8,04-01-2021,krishnagiri
B+,5,19-03-2021,krishnagiri
O-,9,27-01-2020,krishnagiri
B-,8,25-04-2020,salem
B-,2,11-01-2020,dharmapuri
AB+,5,17-08-2020,salem
O+,4,14-02-2021,krishnagiri
B+,6,05-01-2020,krishnagiri
A-,4,31-05-2020,krishnagiri
B+,1,25-11-2020,krishnagiri
B+,6,05-12-2020,salem
B-,6,22-05-2020,dharmapuri
BOMBAY,7,24-05-2020,salem
O-,6,29-01-2021,dharmapuri
O-,6,21-02-2020,salem
A-,6,20-02-2021,krishnagiri
A-,3,17-04-2021,salem
B-,5,14-05-2020,dharmapuri
A-,7,26-05-2020,salem
B-,7,05-04-2021,dharmapuri
A-,8,22-03-2020,krishnagiri
AB-,9,11-02-2021,dharmapuri
A-,3,03-03-2020,krishnagiri
AB+,2,19-09-2020,krishnagiri
O-,3,26-02-2020,krishnagiri
A-,3,14-07-2020,dharmapuri
